,year,solicitation,solicitation_date_gen,employees,Special.x,Open.x,Pitch.x,prev_award,phase,select,Current.Financing.Status,cost
1,2019,19.2,7/15/2019,271,0,0,0,1,II,1,Corporate Backed or Acquired,749950
2,2019,19.2,7/15/2019,12,0,0,0,0,II,0,NA,1496892
3,2019,19.2,7/15/2019,12,0,0,0,1,II,1,Venture Capital-Backed,719207
4,2019,19.2,7/15/2019,33,0,0,0,1,II,1,Private Equity-Backed,749522
5,2019,19.2,7/15/2019,13,0,0,0,0,II,0,NA,749481
6,2019,19.1,2/15/2019,20,0,0,0,1,II,0,Formerly VC-backed,1609898
7,2019,19.2,7/15/2019,125,0,0,0,1,II,1,Corporate Backed or Acquired,1609223
8,2019,19.2,7/15/2019,120,0,0,0,0,II,0,Venture Capital-Backed,1499995
9,2019,19.2,7/15/2019,17,0,0,0,0,II,0,Venture Capital-Backed,749800
10,2019,19.2,7/15/2019,137,0,0,0,1,II,1,Corporate Backed or Acquired,1612499
11,2019,19.2,7/15/2019,46,0,0,0,1,II,1,Venture Capital-Backed,1495512
12,2019,19.2,7/15/2019,4,0,0,0,1,II,1,Venture Capital-Backed,750000
13,2019,19.2,7/15/2019,5,0,0,0,0,II,0,NA,749974
14,2019,19.2,7/15/2019,5,0,0,0,0,II,0,Pending Transaction (Angel),149996
15,2019,19.2,7/15/2019,125,0,0,0,1,II,1,Corporate Backed or Acquired,1609223
16,2019,19.2,7/15/2019,29,0,0,0,1,II,1,Venture Capital-Backed,1442887
17,2019,19.1,2/15/2019,20,0,0,0,1,II,1,Venture Capital-Backed,1499914
18,2019,19.1,2/15/2019,3,0,0,0,0,II,0,Accelerator/Incubator Backed,221213
19,2019,19.1,2/15/2019,2,0,0,0,0,II,0,NA,149270
20,2019,19.2,7/15/2019,1,0,0,0,0,II,0,NA,750000
21,2019,19.2,7/15/2019,13,0,0,0,1,II,1,NA,724934
22,2019,19.1,2/15/2019,3,0,0,0,0,II,0,NA,149385
23,2019,19.2,7/15/2019,1,0,0,0,0,II,0,NA,1500000
24,2019,19.2,7/15/2019,68,0,0,0,1,II,1,NA,749997
25,2019,19.2,7/15/2019,180,0,0,0,1,II,1,NA,749992
26,2019,19.2,7/15/2019,4,0,0,0,1,II,1,NA,749317
27,2019,19.2,7/15/2019,17,0,0,0,1,II,1,NA,716329
28,2019,19.2,7/15/2019,8,0,0,0,1,II,1,NA,749963
29,2019,19.2,7/15/2019,12,0,0,0,1,II,1,NA,749858
30,2019,19.2,7/15/2019,65,0,0,0,0,II,0,Venture Capital-Backed,1464385
31,2019,19.2,7/15/2019,120,0,0,0,0,II,0,NA,750000
32,2019,19.2,7/15/2019,65,0,0,0,0,II,0,NA,749999
33,2019,19.1,2/15/2019,2,0,0,0,0,II,0,NA,149473
34,2019,19.1,2/15/2019,20,0,0,0,0,II,1,NA,149560
35,2019,19.2,7/15/2019,85,0,0,0,1,II,1,NA,745527
36,2019,19.2,7/15/2019,5,0,0,0,0,II,0,NA,1500000
37,2019,19.2,7/15/2019,7,0,0,0,0,II,0,NA,734779
38,2019,19.2,7/15/2019,5,0,0,0,0,II,0,NA,1500000
39,2019,19.2,7/15/2019,5,0,0,0,0,II,0,NA,1500000
40,2019,19.2,7/15/2019,2,0,0,0,1,II,1,NA,749980
41,2019,19.2,7/15/2019,270,0,0,0,1,II,1,NA,749938
42,2019,19.2,7/15/2019,32,0,0,0,0,II,0,NA,1499471
43,2019,19.2,7/15/2019,5,0,0,0,0,II,0,Pending Transaction (Angel),747585
44,2019,19.1,2/15/2019,25,0,0,0,1,II,1,Venture Capital-Backed,1586991
45,2019,19.1,2/15/2019,2,0,0,0,1,II,1,Angel-Backed,1573308
46,2019,19.1,2/15/2019,10,0,0,0,1,II,1,Venture Capital-Backed,706566
47,2019,19.2,7/15/2019,11,0,0,0,0,II,0,NA,1499620
48,2019,19.1,2/15/2019,65,0,0,0,1,II,1,Venture Capital-Backed,1612496
49,2019,19.1,2/15/2019,32,0,0,0,0,II,0,Venture Capital-Backed,1039348
50,2019,19.1,2/15/2019,75,0,0,0,0,II,0,Venture Capital-Backed,127820
51,2019,19.2,7/15/2019,12,0,0,0,0,II,0,Venture Capital-Backed,749994
52,2019,19.2,7/15/2019,255,0,0,0,0,II,0,Venture Capital-Backed,1498353
53,2019,19.2,7/15/2019,13,0,0,0,1,II,1,Venture Capital-Backed,1497634
54,2019,19.2,7/15/2019,50,0,0,0,0,II,0,Venture Capital-Backed,749520
55,2019,19.2,7/15/2019,8,0,0,0,1,II,1,Accelerator/Incubator Backed,746659
56,2019,19.2,7/15/2019,25,0,0,0,1,II,1,Venture Capital-Backed,748079
57,2019,19.2,7/15/2019,50,0,0,0,1,II,1,NA,1611414
58,2019,19.1,2/15/2019,8,0,0,0,1,II,1,NA,851334
59,2019,19.2,7/15/2019,12,0,0,0,1,II,1,NA,749998
60,2019,19.2,7/15/2019,87,0,0,0,1,II,1,NA,1612385
61,2019,19.2,7/15/2019,87,0,0,0,1,II,1,NA,1612360
62,2019,19.2,7/15/2019,180,0,0,0,1,II,1,NA,749997
63,2019,19.1,2/15/2019,33,0,0,0,0,II,0,NA,148469
64,2019,19.2,7/15/2019,2,0,0,0,1,II,1,NA,749880
65,2019,19.2,7/15/2019,2,0,0,0,0,II,0,NA,163811
66,2019,19.2,7/15/2019,2,0,0,0,0,II,0,NA,749432
67,2019,19.2,7/15/2019,160,0,0,0,1,II,1,NA,699987
68,2019,19.2,7/15/2019,10,0,0,0,1,II,1,NA,749989
69,2019,19.2,7/15/2019,72,0,0,0,1,II,1,NA,1612470
70,2019,19.2,7/15/2019,6,0,0,0,0,II,0,NA,1244981
71,2019,19.2,7/15/2019,10,0,0,0,0,II,0,NA,1610464
72,2019,19.2,7/15/2019,58,0,0,0,1,II,1,NA,750000
73,2019,19.2,7/15/2019,5,0,0,0,0,II,0,NA,1499982
74,2019,19.2,7/15/2019,5,0,0,0,0,II,0,NA,625465
75,2019,19.2,7/15/2019,6,0,0,0,1,II,1,Venture Capital-Backed,750000
76,2019,19.2,7/15/2019,9,0,0,0,0,II,0,Venture Capital-Backed,748116
77,2019,19.2,7/15/2019,225,0,0,0,1,II,1,Corporate Backed or Acquired,899997
78,2019,19.2,7/15/2019,5,0,0,0,0,II,0,Venture Capital-Backed,1295735
79,2019,19.2,7/15/2019,55,0,0,0,0,II,0,Venture Capital-Backed,1499063
80,2019,19.2,7/15/2019,28,0,0,0,0,II,0,Venture Capital-Backed,149752
81,2019,19.2,7/15/2019,2,0,0,0,0,II,0,Venture Capital-Backed,1497660
82,2019,19.2,7/15/2019,2,0,0,0,0,II,1,Angel-Backed,749941
83,2019,19.2,7/15/2019,250,0,0,0,1,II,1,Formerly PE-Backed,1612325
84,2019,19.2,7/15/2019,250,0,0,0,1,II,1,Formerly PE-Backed,795904
85,2019,19.2,7/15/2019,4,0,0,0,1,II,1,Venture Capital-Backed,1499871
86,2019,19.2,7/15/2019,7,0,0,0,1,II,1,Venture Capital-Backed,749931
87,2019,19.2,7/15/2019,8,0,0,0,0,II,0,Accelerator/Incubator Backed,1499871
88,2019,19.2,7/15/2019,28,0,0,0,1,II,1,Venture Capital-Backed,1495038
89,2019,19.2,7/15/2019,5,0,0,0,1,II,1,Venture Capital-Backed,749696
90,2019,19.2,7/15/2019,8,0,0,0,1,II,1,Accelerator/Incubator Backed,1500000
91,2019,19.2,7/15/2019,71,0,0,0,1,II,1,Formerly PE-Backed,1612361
92,2019,19.2,7/15/2019,14,0,0,0,0,II,0,Venture Capital-Backed,750000
93,2019,19.2,7/15/2019,5,0,0,0,1,II,1,Accelerator/Incubator Backed,750000
94,2019,19.2,7/15/2019,23,0,0,0,1,II,1,Venture Capital-Backed,748921
95,2019,19.2,7/15/2019,63,0,0,0,0,II,0,Venture Capital-Backed,1499495
96,2019,19.2,7/15/2019,50,0,0,0,0,II,0,Venture Capital-Backed,1499846
97,2019,19.2,7/15/2019,9,0,0,0,1,II,1,Venture Capital-Backed,1500000
98,2019,19.2,7/15/2019,120,0,0,0,0,II,0,Venture Capital-Backed,1125000
99,2019,19.2,7/15/2019,2,0,0,0,1,II,1,Venture Capital-Backed,747074
100,2019,19.2,7/15/2019,6,0,0,0,1,II,1,Accelerator/Incubator Backed,750000
101,2019,19.2,7/15/2019,5,0,0,0,0,II,0,Venture Capital-Backed,750000
102,2019,19.2,7/15/2019,9,0,0,0,1,II,1,Angel-Backed,1499511
103,2019,19.2,7/15/2019,15,0,0,0,1,II,1,Venture Capital-Backed,749998
104,2019,19.2,7/15/2019,50,0,0,0,1,II,1,Private Equity-Backed,750000
105,2019,19.2,7/15/2019,15,0,0,0,0,II,0,Venture Capital-Backed,1498209
106,2019,19.2,7/15/2019,5,0,0,0,1,II,1,Venture Capital-Backed,1500000
107,2019,19.2,7/15/2019,7,0,0,0,1,II,1,Venture Capital-Backed,749959
108,2019,19.2,7/15/2019,100,0,0,0,1,II,1,Formerly VC-backed,799993
109,2019,19.2,7/15/2019,180,0,0,0,0,II,0,Formerly VC-backed,1499869
110,2019,19.2,7/15/2019,12,0,0,0,0,II,0,NA,1498134
111,2019,19.2,7/15/2019,31,0,0,0,1,II,1,NA,749901
112,2019,19.2,7/15/2019,4,0,0,0,0,II,0,Venture Capital-Backed,849463
113,2019,19.2,7/15/2019,20,0,0,0,0,II,0,Venture Capital-Backed,1496696
114,2019,19.2,7/15/2019,32,0,0,0,1,II,1,Angel-Backed,899947
115,2019,19.2,7/15/2019,5,0,0,0,1,II,1,Accelerator/Incubator Backed,404129
116,2019,19.2,7/15/2019,9,0,0,0,1,II,1,NA,1612354
117,2019,19.2,7/15/2019,1,0,0,0,0,II,0,NA,859940
118,2019,19.2,7/15/2019,68,0,0,0,1,II,1,NA,749904
119,2019,19.2,7/15/2019,15,0,0,0,0,II,0,NA,735027
120,2019,19.2,7/15/2019,15,0,0,0,0,II,0,NA,1499877
121,2019,19.2,7/15/2019,7,0,0,0,1,II,1,NA,749021
122,2019,19.2,7/15/2019,62,0,0,0,1,II,1,NA,1611777
123,2019,19.2,7/15/2019,3,0,0,0,1,II,1,NA,749936
124,2019,19.2,7/15/2019,12,0,0,0,1,II,1,NA,750000
125,2019,19.2,7/15/2019,29,0,0,0,1,II,1,NA,749751
126,2019,19.2,7/15/2019,50,0,0,0,0,II,0,NA,1592657
127,2019,19.2,7/15/2019,35,0,0,0,1,II,1,NA,749991
128,2019,19.2,7/15/2019,3,0,0,0,0,II,0,NA,749893
129,2019,19.2,7/15/2019,17,0,0,0,0,II,0,NA,1500000
130,2019,19.2,7/15/2019,1,0,0,0,0,II,0,NA,1249998
131,2019,19.2,7/15/2019,26,0,0,0,1,II,1,NA,749996
132,2019,19.2,7/15/2019,7,0,0,0,0,II,0,NA,749670
133,2019,19.2,7/15/2019,8,0,0,0,1,II,1,NA,731400
134,2019,19.2,7/15/2019,7,0,0,0,0,II,0,NA,749982
135,2019,19.2,7/15/2019,3,0,0,0,0,II,0,NA,1218001
136,2019,19.2,7/15/2019,1,0,0,0,0,II,0,NA,746046
137,2019,19.2,7/15/2019,23,0,0,0,1,II,1,NA,1612067
138,2019,19.2,7/15/2019,4,0,0,0,0,II,0,NA,744708
139,2019,19.2,7/15/2019,6,0,0,0,0,II,0,NA,749999
140,2019,19.2,7/15/2019,30,0,0,0,1,II,1,NA,844152
141,2019,19.2,7/15/2019,75,0,0,0,1,II,1,NA,750000
142,2019,19.2,7/15/2019,6,0,0,0,0,II,0,NA,1595895
143,2019,19.2,7/15/2019,144,0,0,0,0,II,0,NA,1498831
144,2019,19.2,7/15/2019,10,0,0,0,0,II,0,NA,737625
145,2019,19.2,7/15/2019,25,0,0,0,1,II,1,NA,749978
146,2019,19.2,7/15/2019,10,0,0,0,0,II,1,NA,750532
147,2019,19.2,7/15/2019,5,0,0,0,0,II,0,NA,749294
148,2019,19.2,7/15/2019,12,0,0,0,1,II,1,NA,1498799
149,2019,19.2,7/15/2019,92,0,0,0,1,II,1,NA,736383
150,2019,19.2,7/15/2019,20,0,0,0,1,II,1,Venture Capital-Backed,1500000
151,2019,19.2,7/15/2019,22,0,0,0,0,II,0,Venture Capital-Backed,749933
152,2019,19.2,7/15/2019,35,0,0,0,1,II,1,NA,749687
153,2019,19.2,7/15/2019,6,0,0,0,1,II,1,NA,728394
154,2019,19.2,7/15/2019,9,0,0,0,1,II,1,NA,749218
155,2019,19.2,7/15/2019,7,0,0,0,0,II,0,NA,1463700
156,2019,19.2,7/15/2019,3,0,0,0,1,II,1,NA,748961
157,2019,19.2,7/15/2019,10,0,0,0,1,II,1,NA,1499594
158,2019,19.2,7/15/2019,32,0,0,0,1,II,1,NA,749534
159,2019,19.2,7/15/2019,6,0,0,0,0,II,0,NA,1479172
160,2019,19.2,7/15/2019,7,0,0,0,0,II,0,NA,748878
161,2019,19.2,7/15/2019,3,0,0,0,1,II,0,NA,760000
162,2019,19.2,7/15/2019,9,0,0,0,1,II,1,NA,749986
163,2019,19.2,7/15/2019,22,0,0,0,1,II,1,NA,1612435
164,2019,19.2,7/15/2019,48,0,0,0,1,II,1,NA,749566
165,2019,19.2,7/15/2019,72,0,0,0,1,II,1,NA,1612430
166,2019,19.2,7/15/2019,30,0,0,0,1,II,1,NA,1500000
167,2019,19.2,7/15/2019,3,0,0,0,0,II,0,NA,1499462
168,2019,19.2,7/15/2019,12,0,0,0,0,II,1,NA,1612368
169,2019,19.2,7/15/2019,33,0,0,0,1,II,1,NA,749635
170,2019,19.2,7/15/2019,62,0,0,0,0,II,0,NA,1612421
171,2019,19.2,7/15/2019,2,0,0,0,0,II,0,NA,1497986
172,2019,19.2,7/15/2019,56,0,0,0,1,II,1,NA,749999
173,2019,19.2,7/15/2019,12,0,0,0,1,II,1,NA,743235
174,2019,19.2,7/15/2019,30,0,0,0,1,II,1,NA,1612491
175,2019,19.2,7/15/2019,7,0,0,0,1,II,1,NA,949972
176,2019,19.2,7/15/2019,12,0,0,0,1,II,1,NA,750000
177,2019,19.2,7/15/2019,4,0,0,0,1,II,1,NA,739253
178,2019,19.2,7/15/2019,3,0,0,0,0,II,0,NA,731420
179,2019,19.2,7/15/2019,5,0,0,0,1,II,1,NA,1248578
180,2019,19.2,7/15/2019,50,0,0,0,1,II,1,NA,1612424
181,2019,19.1,2/15/2019,75,0,0,0,1,II,1,NA,1612499
182,2019,19.1,2/15/2019,390,0,0,0,1,II,1,NA,1612396
183,2019,19.1,2/15/2019,224,0,0,0,1,II,1,NA,1612484
184,2019,19.2,7/15/2019,46,0,0,0,1,II,1,NA,749962
185,2019,19.2,7/15/2019,350,0,0,0,0,II,0,NA,1500000
186,2019,19.2,7/15/2019,10,0,0,0,0,II,0,NA,1496582
187,2019,19.2,7/15/2019,12,0,0,0,1,II,1,NA,749982
188,2019,19.2,7/15/2019,3,0,0,0,0,II,0,NA,1553844
189,2019,19.2,7/15/2019,2,0,0,0,0,II,0,NA,749967
190,2019,19.2,7/15/2019,87,0,0,0,1,II,1,NA,749982
191,2019,19.2,7/15/2019,2,0,0,0,1,II,1,NA,574588
192,2019,19.2,7/15/2019,15,0,0,0,0,II,0,NA,749628
193,2019,19.2,7/15/2019,5,0,0,0,0,II,0,NA,1450789
194,2019,19.2,7/15/2019,1,0,0,0,1,II,1,NA,750000
195,2019,19.2,7/15/2019,21,0,0,0,0,II,0,NA,1498961
196,2019,19.2,7/15/2019,37,0,0,0,1,II,1,NA,749277
197,2019,19.2,7/15/2019,20,0,0,0,1,II,1,NA,1612499
198,2019,19.2,7/15/2019,100,0,0,0,1,II,1,NA,749929
199,2019,19.2,7/15/2019,20,0,0,0,1,II,1,NA,1611729
200,2019,19.2,7/15/2019,20,0,0,0,0,II,0,NA,1409650
201,2019,19.2,7/15/2019,10,0,0,0,0,II,0,NA,743487
202,2019,19.2,7/15/2019,16,0,0,0,1,II,0,NA,1499543
203,2019,19.2,7/15/2019,18,0,0,0,1,II,1,NA,1612423
204,2019,19.1,2/15/2019,24,0,0,0,1,II,1,Venture Capital-Backed,1611076
205,2019,19.2,7/15/2019,2,0,0,0,1,II,1,NA,149776
206,2019,19.2,7/15/2019,2,0,0,0,0,II,0,NA,1499393
207,2019,19.2,7/15/2019,130,0,0,0,0,II,0,NA,1496208
208,2019,19.2,7/15/2019,4,0,0,0,1,II,1,NA,1277385
209,2019,19.2,7/15/2019,2,0,0,0,0,II,0,NA,1500000
210,2019,19.2,7/15/2019,6,0,0,0,0,II,0,NA,1610241
211,2019,19.2,7/15/2019,120,0,0,0,0,II,0,NA,748806
212,2019,19.2,7/15/2019,13,0,0,0,0,II,0,NA,1502639
213,2019,19.2,7/15/2019,14,0,0,0,0,II,0,NA,740517
214,2019,19.2,7/15/2019,1,0,0,0,1,II,1,NA,748626
215,2019,19.2,7/15/2019,5,0,0,0,1,II,1,NA,733400
216,2019,19.2,7/15/2019,50,0,0,0,1,II,1,NA,1558930
217,2019,19.2,7/15/2019,30,0,0,0,1,II,1,NA,1499819
218,2019,19.2,7/15/2019,100,0,0,0,0,II,0,NA,1612449
219,2019,19.2,7/15/2019,15,0,0,0,1,II,1,NA,749925
220,2019,19.2,7/15/2019,12,0,0,0,1,II,1,NA,1499202
221,2019,19.2,7/15/2019,35,0,0,0,1,II,1,NA,749162
222,2019,19.2,7/15/2019,215,0,0,0,1,II,1,NA,750000
223,2019,19.2,7/15/2019,4,0,0,0,0,II,0,NA,1498640
224,2019,19.1,2/15/2019,19,0,0,0,1,II,1,NA,1612500
225,2019,19.1,2/15/2019,8,0,0,0,1,II,1,NA,1612418
226,2019,19.1,2/15/2019,50,0,0,0,1,II,1,NA,1612424
227,2019,19.1,2/15/2019,424,0,0,0,1,II,1,NA,1612499
228,2019,19.1,2/15/2019,14,0,0,0,0,II,0,NA,1612273
229,2019,19.1,2/15/2019,420,0,0,0,1,II,1,NA,1612410
230,2019,19.1,2/15/2019,424,0,0,0,1,II,1,NA,1612499
231,2019,19.1,2/15/2019,10,0,0,0,1,II,1,NA,1141724
232,2019,19.1,2/15/2019,25,0,0,0,0,II,0,NA,1524620
233,2019,19.1,2/15/2019,2,0,0,0,0,II,0,NA,1609933
234,2019,19.1,2/15/2019,420,0,0,0,1,II,1,NA,1612283
235,2019,19.1,2/15/2019,30,0,0,0,1,II,1,NA,1611752
236,2019,19.1,2/15/2019,244,0,0,0,1,II,1,NA,1612498
237,2019,19.2,7/15/2019,9,0,0,0,0,II,0,Venture Capital-Backed,1499083
238,2019,19.2,7/15/2019,49,0,0,0,0,II,0,Venture Capital-Backed,749990
239,2019,19.2,7/15/2019,44,0,0,0,0,II,0,Venture Capital-Backed,749852
240,2019,19.2,7/15/2019,3,0,0,0,0,II,0,Accelerator/Incubator Backed,750000
241,2019,19.2,7/15/2019,85,0,0,0,0,II,1,Private Equity-Backed,722281
242,2019,19.2,7/15/2019,25,0,0,0,1,II,1,Venture Capital-Backed,1163919
